Description,Severity,Status,First Seen,Issue age,Lines of code,Redundant lines of code,Occurrences,Same file,Same component,Technology,Locations
18 lines occurring 3 times in 3 files,HIGH,RAW,2026-06-29,0,18,36,3,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/EditFlight/FormElements.tsx#L20:37,src/Components/HomePage/Body/Left/Voorbereiding/ReuseFlightPlan/Steps/Step2/FormInputs.tsx#L20:37,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step1/index.tsx#L18:35"
10 lines occurring 4 times in 4 files,HIGH,RAW,2026-06-29,0,10,30,4,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/DuplicateFlightPlan/Step2/Buttons.tsx#L42:51,src/Components/HomePage/Body/Left/Voorbereiding/ReuseFlightPlan/Steps/Step2/Buttons.tsx#L55:64,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step3/Buttons.tsx#L87:96,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step1/TemplateFlights/index.tsx#L89:98"
9 lines occurring 7 times in 6 files,HIGH,RAW,2026-06-29,0,9,54,7,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/EditFlight/Buttons.tsx#L17:25,src/Components/HomePage/Body/Left/Voorbereiding/ReuseFlightPlan/Steps/Step2/Buttons.tsx#L23:31,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/DuplicateFlightPlan/Step2/Buttons.tsx#L24:32,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step2/Buttons.tsx#L29:37,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step3/Buttons.tsx#L43:51,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step2/Buttons.tsx#L59:67,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/DuplicateFlightPlan/Step2/Form.tsx#L34:42"
13 lines occurring 3 times in 3 files,HIGH,RAW,2026-06-29,0,13,26,3,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointToPlan/index.tsx#L72:87,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointsFromPlan/SelectFromSource/index.tsx#L192:207,src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Common/StepContent.tsx#L120:135"
12 lines occurring 3 times in 2 files,HIGH,RAW,2026-06-29,0,12,24,3,false,true,TypeScript,"src/Components/HomePage/Body/Bottom/PointsView/index.tsx#L84:95,src/Components/HomePage/Body/Bottom/PointsView/common/hooks/useMapGraphics.ts#L27:38,src/Components/HomePage/Body/Bottom/PointsView/common/hooks/useMapGraphics.ts#L88:99"
12 lines occurring 3 times in 2 files,HIGH,RAW,2026-06-29,0,12,24,3,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/EditPointDetails/Steps/Step2/index.tsx#L39:50,src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/EditPointDetails/Steps/Step1.tsx#L51:62,src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/EditPointDetails/Steps/Step1.tsx#L80:91"
23 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-06,23,23,23,2,false,false,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/helpers/usePlanDuplicateState.ts#L68:98,src/hooks/zustand/voorbereiding/useViewPlanState.ts#L93:123"
22 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-10,19,22,22,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/SearchedResultsTab/FlightPlans/FlightPlansList/DropDown.tsx#L144:177,src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Functions/GroupFunctions.tsx#L209:242"
11 lines occurring 3 times in 3 files,HIGH,RAW,2026-06-29,0,11,22,3,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step2/Form.tsx#L21:31,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/EditFlight/FormElements.tsx#L20:30,src/Components/HomePage/Body/Left/Voorbereiding/ReuseFlightPlan/Steps/Step2/FormInputs.tsx#L20:30"
11 lines occurring 3 times in 3 files,HIGH,RAW,2026-06-29,0,11,22,3,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/DuplicateFlightPlan/Step2/Buttons.tsx#L41:51,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step3/Buttons.tsx#L86:96,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step1/TemplateFlights/index.tsx#L88:98"
21 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-29,0,21,21,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/EditFlight/FormElements.tsx#L16:37,src/Components/HomePage/Body/Left/Voorbereiding/ReuseFlightPlan/Steps/Step2/FormInputs.tsx#L16:37"
10 lines occurring 3 times in 3 files,HIGH,RAW,2026-06-10,19,10,20,3,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/AandachtspuntDetailsFields.tsx#L40:49,src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step3/Form.tsx#L9:18,src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/Step2/Form.tsx#L9:18"
20 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-04,25,20,20,2,false,false,TypeScript,"src/Components/HomePage/Body/Bottom/PlansView/Details/index.tsx#L26:76,src/hooks/useGetFlightTimesDistance.ts#L8:69"
10 lines occurring 3 times in 3 files,HIGH,RAW,2026-06-29,0,10,20,3,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/DuplicateFlightPlan/Step2/Buttons.tsx#L23:32,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step3/Buttons.tsx#L42:51,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step2/Buttons.tsx#L58:67"
18 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-10,19,18,18,2,false,false,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/templateFlightStates.ts#L5:32,src/hooks/zustand/voorbereiding/useFlightPlanState.ts#L35:62"
18 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-06,23,18,18,2,false,false,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/helpers/usePlanDuplicateState.ts#L17:42,src/hooks/zustand/voorbereiding/useViewPlanState.ts#L32:57"
9 lines occurring 5 times in 5 files,HIGH,RAW,2026-06-10,19,9,36,5,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/EditFlight/Buttons.tsx#L36:44,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/DuplicateFlightPlan/Step2/Buttons.tsx#L43:51,src/Components/HomePage/Body/Left/Voorbereiding/ReuseFlightPlan/Steps/Step2/Buttons.tsx#L56:64,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step3/Buttons.tsx#L88:96,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step1/TemplateFlights/index.tsx#L90:98"
18 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-04,25,18,18,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Common/PointsList.tsx#L52:81,src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Common/PointsList.tsx#L69:98"
9 lines occurring 5 times in 5 files,HIGH,RAW,2026-06-29,0,9,36,5,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step1/Buttons.tsx#L21:29,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/DuplicateFlightPlan/Step2/Form.tsx#L22:30,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/EditFlight/FormElements.tsx#L43:51,src/Components/HomePage/Body/Left/Voorbereiding/ReuseFlightPlan/Steps/Step2/FormInputs.tsx#L43:51,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/index.tsx#L50:58"
17 lines occurring 2 times,HIGH,RAW,2026-06-04,25,17,17,2,true,true,TypeScript,"src/hooks/zustand/useEnrichedPointState.ts#L73:95,src/hooks/zustand/useEnrichedPointState.ts#L122:144"
16 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-29,0,16,16,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step1/Buttons.tsx#L29:51,src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/index.tsx#L36:58"
16 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-10,19,16,16,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/EditPointDetails/Steps/Step2/Step2Sub1.tsx#L9:26,src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/Step2Sub1.tsx#L11:28"
15 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-10,19,15,15,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/EditPointDetails/Steps/Step2/index.tsx#L38:52,src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/EditPointDetails/Steps/Step1.tsx#L50:64"
15 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-10,19,15,15,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/SearchedResultsTab/FlightPlans/FlightPlansList/DropDown.tsx#L118:135,src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Functions/GroupFunctions.tsx#L150:167"
14 lines occurring 2 times,HIGH,RAW,2026-06-04,25,14,14,2,true,true,TypeScript,"src/hooks/zustand/useEnrichedPointState.ts#L51:70,src/hooks/zustand/useEnrichedPointState.ts#L99:118"
14 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-10,19,14,14,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Points/DropDown.tsx#L109:128,src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Functions/GroupFunctions.tsx#L182:201"
14 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-10,19,14,14,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/Step2/Form.tsx#L5:18,src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step3/Form.tsx#L5:18"
14 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-04,25,14,14,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/helpers/getDistanceInMeters.ts#L2:17,src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/index.tsx#L40:55"
14 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-29,0,14,14,2,false,true,TypeScript,"src/hooks/zustand/nabewerking/useFinishedPlansState.ts#L44:60,src/hooks/zustand/useReuseFlightPlan.ts#L40:56"
14 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-29,0,14,14,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Functions/GroupFunctions.tsx#L184:204,src/Components/HomePage/Body/Left/Common/ResultTab/ListPointsFunctions/index.tsx#L135:155"
14 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-04,25,14,14,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step3/Buttons.tsx#L39:52,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointStep/Steps/Step3/Buttons.tsx#L48:62"
14 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-04,25,14,14,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Functions/ListPointsFunctions/index.tsx#L132:146,src/Components/HomePage/Body/Bottom/ClickedTableFunctions/PointsList.tsx#L240:254"
13 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-10,19,13,13,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Points/DropDown.tsx#L111:128,src/Components/HomePage/Body/Left/Common/ResultTab/ListPointsFunctions/index.tsx#L135:152"
13 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-10,19,13,13,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step3/Buttons.tsx#L84:97,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step1/TemplateFlights/index.tsx#L86:99"
13 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-29,0,13,13,2,false,true,TypeScript,"backend/src/helpers/queries/formatPlanGeometries.ts#L119:131,backend/src/routes/geometries/getGeometries.ts#L12:24"
13 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-04,25,13,13,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Common/PointsList.tsx#L36:53,src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/PointsList.tsx#L79:96"
13 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-06,23,13,13,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/SearchedResultsTab/FlightPlans/FlightPlanDetails/DropDown.tsx#L39:60,src/Components/HomePage/Body/Bottom/ClickedTableFunctions/PlansList.tsx#L38:59"
13 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-10,19,13,13,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/Step2/Form.tsx#L21:33,src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step3/Form.tsx#L21:33"
13 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-29,0,13,13,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/EditFlight/FormElements.tsx#L40:53,src/Components/HomePage/Body/Left/Voorbereiding/ReuseFlightPlan/Steps/Step2/FormInputs.tsx#L40:53"
13 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-29,0,13,13,2,false,true,TypeScript,"src/Components/HomePage/Body/Right/SelectedPlansPointsList/Common/useGeometryPlanImages.ts#L53:71,src/Components/HomePage/Body/Right/SelectedPlansPointsList/Common/usePointPlanImages.ts#L62:80"
12 lines occurring 2 times,HIGH,RAW,2026-06-04,25,12,12,2,true,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step2/Buttons.tsx#L52:71,src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step2/Buttons.tsx#L97:116"
12 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-29,0,12,12,2,false,true,TypeScript,"src/helpers/timeslider/flightPlansYellowHighlights.ts#L87:104,src/helpers/timeslider/selectedPlansPointsList.ts#L170:188"
12 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-04,25,12,12,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step2/Form.tsx#L20:31,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step1/index.tsx#L17:28"
12 lines occurring 2 times,HIGH,RAW,2026-06-04,25,12,12,2,true,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/index.tsx#L184:200,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/index.tsx#L317:332"
12 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-04,25,12,12,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Functions/ListPointsFunctions/index.tsx#L67:83,src/Components/HomePage/Body/Bottom/ClickedTableFunctions/PointsList.tsx#L116:132"
11 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-10,19,11,11,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointStep/Steps/Step2/index.tsx#L71:81,src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step2/useCoordinatesWatcher.ts#L17:27"
11 lines occurring 2 times,HIGH,RAW,2026-06-06,23,11,11,2,true,true,TypeScript,"src/hooks/features/useRenderGeometries.ts#L48:61,src/hooks/features/useRenderGeometries.ts#L79:93"
11 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-29,0,11,11,2,false,false,TypeScript,"src/helpers/points/buildPointUpdatePayload.ts#L43:53,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditGeometryDetails/Actions/Form/index.tsx#L56:66"
11 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-06,23,11,11,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step1/Content/SinglePlan.tsx#L15:27,src/Components/HomePage/Body/Left/Voorbereiding/ReuseFlightPlan/Steps/Step1/SinglePlan.tsx#L20:32"
11 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-04,25,11,11,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Common/Filter.tsx#L21:32,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Common/Filter.tsx#L28:39"
11 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-10,19,11,11,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/EditFlight/Buttons.tsx#L52:62,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/EditPoint/Buttons/RemovePoint.tsx#L52:62"
11 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-29,0,11,11,2,false,false,TypeScript,"src/Types/keycloakUser.ts#L1:11,backend/src/routes/keycloak/management/users/types.ts#L1:11"
11 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-06,23,11,11,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/FiltersSection/FilterSelect.tsx#L2:14,src/Components/HomePage/Body/Left/Common/FormComponents/SelectComp.tsx#L4:16"
11 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-04,25,11,11,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step1/index.tsx#L23:36,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/hooks/useFilterAndSortPlans.ts#L22:35"
11 lines occurring 2 times,HIGH,RAW,2026-06-29,0,11,11,2,true,true,TypeScript,"backend/src/helpers/runReturningUpdate.ts#L35:47,backend/src/helpers/runReturningUpdate.ts#L73:85"
10 lines occurring 2 times,HIGH,RAW,2026-06-04,25,10,10,2,true,true,TypeScript,"src/Components/HomePage/Body/Bottom/ClickedTableFunctions/PointsList.tsx#L114:127,src/Components/HomePage/Body/Bottom/ClickedTableFunctions/PointsList.tsx#L146:158"
10 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-29,0,10,10,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointToPlan/Buttons.tsx#L26:38,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointsFromPlan/SelectFromSource/index.tsx#L344:354"
10 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-29,0,10,10,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointStep/Steps/Step3/Buttons.tsx#L100:115,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointStep/index.tsx#L90:105"
10 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-04,25,10,10,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Functions/ListPointsFunctions/index.tsx#L104:117,src/Components/HomePage/Body/Bottom/ClickedTableFunctions/PointsList.tsx#L183:196"
10 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-10,19,10,10,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step3/Buttons.tsx#L56:65,src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/Steps/Step3/Buttons.tsx#L71:80"
10 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-10,19,10,10,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/DuplicateFlightPlan/Step2/Buttons.tsx#L24:33,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/DuplicateFlightPlan/Step2/Form.tsx#L34:43"
10 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-10,19,10,10,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/Steps/Step3/index.tsx#L30:41,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step3/index.tsx#L36:47"
10 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-29,0,10,10,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/SearchedResultsTab/FlightPlans/FlightPlansList/DropDown.tsx#L82:95,src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Functions/ListPointsFunctions/index.tsx#L65:78"
10 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-29,0,10,10,2,false,false,TypeScript,"src/helpers/ArcGISHelpers/bufferGraphics.ts#L31:42,src/Components/HomePage/Body/Left/Common/ResultTab/PointListBuffer.tsx#L30:41"
10 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-06,23,10,10,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/Steps/Step2/index.tsx#L28:39,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step2/index.tsx#L39:50"
